Слово: было              	 Количество повторов: 2519
Слово: сказал            	 Количество повторов: 2016
Слово: только            	 Количество повторов: 1621
Слово: пьер              	 Количество повторов: 1401
Слово: князь             	 Количество повторов: 1354
Слово: когда             	 Количество повторов: 1145
Слово: чтобы             	 Количество повторов: 998
Слово: того              	 Количество повторов: 924
Слово: теперь            	 Количество повторов: 916
Слово: него              	 Количество повторов: 914
Слово: была              	 Количество повторов: 913
Слово: сноска            	 Количество повторов: 910
Слово: были              	 Количество повторов: 906
Слово: наташа            	 Количество повторов: 822
Слово: себя              	 Количество повторов: 819
Слово: этого             	 Количество повторов: 804
Слово: андрей            	 Количество повторов: 801
Слово: быть              	 Количество повторов: 773
Слово: время             	 Количество повторов: 731
Слово: сказала           	 Количество повторов: 715
Слово: которые           	 Количество повторов: 682
Слово: себе              	 Количество повторов: 675
Слово: говорил           	 Количество повторов: 658
Слово: который           	 Количество повторов: 641
Слово: опять             	 Количество повторов: 619
Слово: меня              	 Количество повторов: 616
Слово: этот              	 Количество повторов: 613
Слово: всех              	 Количество повторов: 578
Слово: ничего            	 Количество повторов: 574
Слово: княжна            	 Количество повторов: 570
Слово: потому            	 Количество повторов: 561
Слово: очень             	 Количество повторов: 549
Слово: после             	 Количество повторов: 546
Слово: есть              	 Количество повторов: 543
Слово: своей             	 Количество повторов: 543
Слово: ростов            	 Количество повторов: 535
Слово: марья             	 Количество повторов: 514
Слово: лицо              	 Количество повторов: 502
Слово: человек           	 Количество повторов: 501
Слово: вдруг             	 Количество повторов: 500
Слово: один              	 Количество повторов: 492
Слово: будет             	 Количество повторов: 484
Слово: ежели             	 Количество повторов: 479
Слово: будто             	 Количество повторов: 479
Слово: может             	 Количество повторов: 475
Слово: пьера             	 Количество повторов: 475
Слово: граф              	 Количество повторов: 473
Слово: людей             	 Количество повторов: 461
Слово: надо              	 Количество повторов: 459
Слово: князя             	 Количество повторов: 439
Слово: перед             	 Количество повторов: 431
Слово: более             	 Количество повторов: 426
Слово: глаза             	 Количество повторов: 423
Слово: своего            	 Количество повторов: 416
Слово: другой            	 Количество повторов: 411
Слово: дело              	 Количество повторов: 405
Слово: свою              	 Количество повторов: 404
Слово: несколько         	 Количество повторов: 398
Слово: всегда            	 Количество повторов: 394
Слово: николай           	 Количество повторов: 394
Слово: жизни             	 Количество повторов: 389
Слово: vous              	 Количество повторов: 385
Слово: между             	 Количество повторов: 371
Слово: день              	 Количество повторов: 366
Слово: человека          	 Количество повторов: 365
Слово: которое           	 Количество повторов: 363
Слово: которой           	 Количество повторов: 356
Слово: этом              	 Количество повторов: 350
Слово: которого          	 Количество повторов: 348
Слово: нибудь            	 Количество повторов: 339
Слово: руку              	 Количество повторов: 333
Слово: больше            	 Количество повторов: 331
Слово: люди              	 Количество повторов: 323
Слово: слова             	 Количество повторов: 321
Слово: через             	 Количество повторов: 320
Слово: казалось          	 Количество повторов: 317
Слово: наполеон          	 Количество повторов: 316
Слово: кутузов           	 Количество повторов: 316
Слово: этой              	 Количество повторов: 313
Слово: хорошо            	 Количество повторов: 312
Слово: графиня           	 Количество повторов: 312
Слово: думал             	 Количество повторов: 309
Слово: прежде            	 Количество повторов: 308
Слово: этих              	 Количество повторов: 307
Слово: никогда           	 Количество повторов: 306
Слово: потом             	 Количество повторов: 304
Слово: знал              	 Количество повторов: 304
Слово: тому              	 Количество повторов: 301
Слово: свои              	 Количество повторов: 297
Слово: голову            	 Количество повторов: 291
Слово: своим             	 Количество повторов: 287
Слово: нему              	 Количество повторов: 287
Слово: свое              	 Количество повторов: 286
Слово: офицер            	 Количество повторов: 285
Слово: даже              	 Количество повторов: 283
Слово: которая           	 Количество повторов: 283
Слово: говорить          	 Количество повторов: 282
Слово: соня              	 Количество повторов: 282
Слово: стал              	 Количество повторов: 281
Слово: тогда             	 Количество повторов: 278
Слово: войска            	 Количество повторов: 276
Слово: спросил           	 Количество повторов: 275
Слово: денисов           	 Количество повторов: 272
Слово: друг              	 Количество повторов: 271
Слово: солдат            	 Количество повторов: 270
Слово: говорила          	 Количество повторов: 267
Слово: своих             	 Количество повторов: 266
Слово: которых           	 Количество повторов: 265
Слово: сказать           	 Количество повторов: 264
Слово: всем              	 Количество повторов: 264
Слово: всего             	 Количество повторов: 264
Слово: нужно             	 Количество повторов: 263
Слово: видел             	 Количество повторов: 263
Слово: чего              	 Количество повторов: 262
Слово: назад             	 Количество повторов: 262
Слово: несмотря          	 Количество повторов: 261
Слово: одно              	 Количество повторов: 260
Слово: котором           	 Количество повторов: 258
Слово: отвечал           	 Количество повторов: 256
Слово: государь          	 Количество повторов: 255
Слово: минуту            	 Количество повторов: 253
Слово: армии             	 Количество повторов: 252
Слово: хотел             	 Количество повторов: 251
Слово: вместе            	 Количество повторов: 250
Слово: андрея            	 Количество повторов: 250
Слово: лица              	 Количество повторов: 249
Слово: французов         	 Количество повторов: 246
Слово: говорили          	 Количество повторов: 244
Слово: глядя             	 Количество повторов: 241
Слово: тебе              	 Количество повторов: 241
Слово: вперед            	 Количество повторов: 240
Слово: пьеру             	 Количество повторов: 239
Слово: руки              	 Количество повторов: 238
Слово: которую           	 Количество повторов: 236
Слово: знаю              	 Количество повторов: 235
Слово: нельзя            	 Количество повторов: 234
Слово: тоже              	 Количество повторов: 233
Слово: глазами           	 Количество повторов: 231
Слово: времени           	 Количество повторов: 230
Слово: голос             	 Количество повторов: 230
Слово: одного            	 Количество повторов: 223
